p,m_k,n_k,q_k
15329417,20,2,3779
15342893,2,2,3917
15369953,22,2,3343
15389993,6,2,3923
15390953,10,2,3923
15526793,18,2,3907
15579833,10,2,3947
15605033,18,2,3917
15648617,20,2,3821
15801953,22,2,3407
15813283,5,3,251
15840953,18,2,3947
15842873,22,2,3413
15878777,20,2,3851
15916217,12,2,3989
15979793,22,2,3433
15999233,18,2,3967
16012097,12,2,4001
16033981,23,3,197
16110737,20,2,3881
16120553,14,2,4013
16172537,12,2,4021
16186673,22,2,3463
16217897,16,2,4019
16233977,16,2,4021
16366313,18,2,4013
16410857,8,2,4051
16485617,20,2,3929
16501337,20,2,3931
16589393,6,2,4073
16676393,22,2,3533
16703777,16,2,4079
16736297,4,2,4091
16740377,12,2,4091
16752653,2,2,4093
16752713,6,2,4093
16753673,10,2,4093
16769033,14,2,4093
16777337,24,2,11
16777577,24,2,19
16778897,24,2,41
16779403,24,7,3
16794023,24,5,7
16794377,24,2,131
16809257,24,2,179
16809977,24,2,181
16849577,24,2,269
16850657,24,2,271
16851473,18,2,4073
16873937,24,2,311
16886777,24,2,331
16900337,4,2,4111
16952777,24,2,419
16954363,24,11,3
16962977,24,2,431
17006657,24,2,479
17018297,24,2,491
17048513,14,2,4127
17057057,24,4,23
17081693,2,2,4133
17103257,24,2,571
17131337,4,2,4139
17131577,8,2,4139
17204753,22,2,3607
17217017,20,2,4021
17247413,2,2,4153
17280713,6,2,4157
17294177,24,2,719
17297297,4,2,4159
17362817,16,2,4159
17459177,20,2,4051
17465753,22,2,3643
17481137,24,2,839
17484497,24,4,29
17498881,19,3,257
17509553,18,2,4153
17553377,24,2,881
17621777,24,2,919
17700737,24,4,31
17732777,8,2,4211
17840177,24,2,1031
17856737,24,2,1039
17881817,24,2,1051
17884457,4,2,4229
17888537,12,2,4229
17905457,12,2,4231
17919977,24,2,1069
17967497,24,2,1091
17986337,8,2,4241
18051617,16,2,4241
18051857,24,2,1129
18089033,10,2,4253
18156137,4,2,4261
18156377,8,2,4261
18171977,24,2,1181
18191449,1,3,263
18265193,18,2,4243
18274913,14,2,4273
18292577,24,2,1231
18344093,2,2,4283
18350153,18,2,4253
18362297,24,2,1259
18371539,24,13,3
18395537,4,2,4289
18395777,8,2,4289
18438737,24,2,1289
18461057,16,2,4289
18465233,10,2,4297
18480593,14,2,4297
18651377,24,4,37
18726353,18,2,4297
18781097,20,2,4211
18810593,10,2,4337
18826937,4,2,4339
18847937,24,2,1439
18848537,20,2,4219
18917897,12,2,4349
18933017,20,2,4229
18983513,6,2,4357
18994337,24,2,1489
19035833,6,2,4363
19052153,14,2,4363
19123133,2,2,4373
19139513,14,2,4373
19187657,20,2,4259
19204697,20,2,4261
19245257,24,2,1571
19245593,18,2,4357
19270457,24,2,1579
19284977,12,2,4391
19385273,18,2,4373
19487683,9,7,11
19489219,11,7,11
19563953,10,2,4423
19618243,17,7,11
19792193,14,2,4447
19808297,24,2,1741
19811417,4,2,4451
19811657,8,2,4451
19875497,20,2,4339
19881233,14,2,4457
20079377,4,2,4481
20097293,2,2,4483
20098313,10,2,4483
20113673,14,2,4483
20187113,6,2,4493
20188073,10,2,4493
20218313,22,2,4003
20383553,14,2,4513
20403293,2,2,4517
20403353,6,2,4517
20457533,2,2,4523
20458553,10,2,4523
20511157,3,5,29
20511661,9,5,29
20575193,18,2,4507
20575817,24,2,1949
20665433,18,2,4517
20675273,6,2,4547
20771057,20,2,4441
20773217,24,2,1999
20806817,12,2,4561
20857553,6,2,4567
20859977,20,2,4451
20868257,16,2,4561
20946953,22,2,4093
20951087,20,3,271
21003893,2,2,4583
21004913,10,2,4583
21107777,24,2,2081
21133433,10,2,4597
21141137,24,2,2089
21142817,16,2,4591
21183017,24,2,2099
21188633,10,2,4603
21253937,2,3,277
21254957,10,3,277
21266033,18,2,4583
21318377,24,2,2131
21353897,8,2,4621
21361097,24,2,2141
21441713,22,2,4153
21447137,24,2,2161
21474953,22,2,4157
21557453,2,2,4643
